34
84
1;32;277.0;-5.0;21000;
1;3;1206.0;7.0;27000;
1;15;1655.0;6.0;27500;
1;8;1741.0;2.0;27800;
1;25;5339.0;6.8;37000;
1;28;7974.0;6.6;39000;
2;1;277.0;5.0;21000;
2;21;1110.0;-4.6;26000;
3;1;1206.0;-7.0;27000;
3;6;365.0;2.3;26500;
3;4;308.0;-2.8;21000;
3;11;984.0;6.6;28000;
4;3;308.0;-2.8;21000;
4;7;1344.0;3.5;28000;
4;21;1372.0;-4.6;30100;
5;1;1655.0;-6.0;27500;
5;6;367.0;2.3;21000;
5;14;2049.0;7.8;31500;
6;12;367.0;2.3;21000;
6;11;772.0;5.4;26000;
7;4;1344.0;-3.5;28000;
8;1;1741.0;-2.0;27800;
8;9;512.0;2.9;21500;
8;10;506.0;-2.6;21500;
8;12;1165.0;4.3;27000;
8;21;963.0;-3.1;25200;
9;8;512.0;-2.9;21500;
10;8;506.0;2.6;21500;
11;6;772.0;-5.4;26000;
12;8;1165.0;-4.3;27000;
12;13;737.0;4.7;26000;
12;16;1594.0;-4.9;27300;
13;12;737.0;-4.7;26000;
13;14;734.0;-7.9;26500;
14;5;2049.0;-7.8;31500;
14;15;3646.0;-5.8;31800;
15;14;3646.0;5.8;31800;
15;16;2133.0;5.1;31600;
15;20;6553.0;-6.7;37500;
16;21;2994.0;4.3;31500;
16;15;2133.0;-5.1;31600;
16;17;4050.0;-6.2;32100;
16;23;6509.0;-3.6;37500;
17;16;4050.0;6.2;32100;
17;18;4770.0;-5.4;33200;
17;20;4647.0;-3.1;33100;
18;17;4770.0;5.4;33200;
18;19;2136.0;-4.5;31600;
19;18;2136.0;4.5;31600;
19;26;8760.0;6.9;39500;
20;15;6553.0;6.7;37500;
20;18;5243.0;2.1;33500;
20;24;5523.0;-6.3;33600;
21;2;1110.0;4.6;26000;
21;4;1372.0;4.6;30100;
21;22;5176.0;-5.3;33400;
21;16;2994.0;-4.3;31500;
22;21;5176.0;5.3;33400;
22;23;2493.0;-5.9;31800;
22;29;5299.0;8.3;33500;
23;22;2493.0;5.9;31800;
23;16;6509.0;3.6;37500;
24;20;5523.0;6.3;33600;
25;1;5339.0;-6.8;37000;
25;27;538.0;7.4;21600;
25;28;7739.0;-7.6;39000;
25;32;4001.0;-5.1;32100;
26;19;8760.0;-6.9;39500;
26;27;3977.0;4.1;32100;
27;26;3977.0;-4.1;32100;
27;25;538.0;-7.4;21600;
28;25;7739.0;7.6;39000;
28;1;7974.0;6.6;39000;
28;29;1862.0;3.5;31200;
28;30;1826.0;-4.5;32100;
29;28;1862.0;-3.5;31200;
29;22;5299.0;-8.3;33500;
30;28;1826.0;4.5;32100;
30;31;1370.0;2.4;26300;
31;30;1370.0;-2.4;26300;
32;28;4546.0;-6.1;33100;
32;33;1890.0;-4.8;31200;
32;25;4001.0;5.1;32100;
33;32;1890.0;4.8;31200;
